num_pokedex,nombre,tipo1,tipo2,habilidad1,habilidad2,hab_oculta,peso,altura,ps,ataque,defensa,spatk,spdef,velocidad
0061,Poliwhirl,Tipo agua,,Absorbe agua,Humedad,Nado rápido,"20,0 kg","1,0 m",65,65,65,50,50,90
0062,Poliwrath,Tipo agua,Tipo lucha,Absorbe agua,Humedad,Nado rápido,"54,0 kg","1,3 m",90,95,95,70,90,70
0063,Abra,Tipo psíquico,,Sincronía,Fuerza mental,Muro mágico,"19,5 kg","0,9 m",25,20,15,105,55,90
0064,Kadabra,Tipo psíquico,,Fuerza mental,Sincronía,Muro mágico,"56,5 kg","1,3 m",40,35,30,120,70,105
0065,Alakazam,Tipo psíquico,,Fuerza mental,Sincronía,Muro mágico,"48,0 kg","1,5 m",55,50,45,135,95,120
0066,Machop,Tipo lucha,,Agallas,Indefenso,Impasible,"19,5 kg","0,8 m",70,80,50,35,35,35
0067,Machoke,Tipo lucha,,Agallas,Indefenso,Impasible,"70,5 kg","1,5 m",80,100,70,50,60,45
0068,Machamp,Tipo lucha,,Agallas,Indefenso,Impasible,"130,0 kg","1,6 m",90,130,80,65,85,55
0069,Bellsprout,Tipo planta,Tipo veneno,Clorofila,,Gula,"4,0 kg","0,7 m",50,75,35,70,30,40
0070,Weepinbell,Tipo planta,Tipo veneno,Clorofila,,Gula,"6,4 kg","1,0 m",65,90,50,85,45,55
0071,Victreebel,Tipo planta,Tipo veneno,Clorofila,,Gula,"15,5 kg","1,7 m",80,105,65,100,70,70
0072,Tentacool,Tipo agua,Tipo veneno,Cuerpo puro,Viscosecreción,Cura lluvia,"45,5 kg","0,9 m",40,40,35,50,100,70
0073,Tentacruel,Tipo agua,Tipo veneno,Cuerpo puro,Viscosecreción,Cura lluvia,"55,0 kg","1,6 m",80,70,65,80,120,100
0074,Geodude,Tipo roca,Tipo tierra,Cabeza roca,Robustez,Velo arena,"20,0 kg","0,4 m",40,80,100,30,30,20
0074,Geodude de Alola,Tipo roca,Tipo eléctrico,Imán,Robustez,Piel eléctrica,"20,3 kg","0,4 m",40,80,100,30,30,20
0075,Graveler,Tipo roca,Tipo tierra,Cabeza roca,Robustez,Velo arena,"105,0 kg","1,0 m",55,95,115,45,45,35
0075,Graveler de Alola,Tipo roca,Tipo eléctrico,Imán,Robustez,Piel eléctrica,"110,0 kg","1,0 m",55,95,115,45,45,35
0076,Golem,Tipo roca,Tipo tierra,Cabeza roca,Robustez,Velo arena,"300,0 kg","1,4 m",80,120,130,55,65,45
0076,Golem de Alola,Tipo roca,Tipo eléctrico,Imán,Robustez,Piel eléctrica,"316,0 kg","1,7 m",80,120,130,55,65,45
0077,Ponyta,Tipo fuego,,Fuga,Absorbe fuego,Cuerpo llama,"30,0 kg","1,0 m",50,85,55,65,65,90
0077,Ponyta de Galar,Tipo psíquico,,Fuga,Velo pastel,Anticipación,"24,0 kg","0,8 m",50,85,55,65,65,90
0078,Rapidash,Tipo fuego,,Fuga,Absorbe fuego,Cuerpo llama,"95,0 kg","1,7 m",65,100,70,80,80,105
0078,Rapidash de Galar,Tipo psíquico,Tipo hada,Fuga,Velo pastel,Anticipación,"80,0 kg","1,7 m",65,100,70,80,80,105
0079,Slowpoke,Tipo agua,Tipo psíquico,Despiste,Ritmo propio,Regeneración,"36,0 kg","1,2 m",90,65,65,40,40,15
0079,Slowpoke de Galar,Tipo psíquico,,Gula,Ritmo propio,Regeneración,"36,0 kg","1,2 m",90,65,65,40,40,15
0080,Slowbro,Tipo agua,Tipo psíquico,Despiste,Ritmo propio,Regeneración,"78,5 kg","1,6 m",95,75,110,100,80,30
0080,Slowbro de Galar,Tipo veneno,Tipo psíquico,Mano rápida,Ritmo propio,Regeneración,"70,5 kg","1,6 m",95,100,95,100,70,30
0081,Magnemite,Tipo eléctrico,Tipo acero,Imán,Robustez,Cálculo final,"6,0 kg","0,3 m",25,35,70,95,55,45
0082,Magneton,Tipo eléctrico,Tipo acero,Imán,Robustez,Cálculo final,"60,0 kg","1,0 m",50,60,95,120,70,70
0083,Farfetch'd,Tipo normal,Tipo volador,Vista lince,Fuerza mental,Competitivo,"15,0 kg","0,8 m",52,90,55,58,62,60
0083,Farfetch'd de Galar,Tipo lucha,,Impasible,,Intrépido,"42,0 kg","0,8 m",52,95,55,58,62,55
0084,Doduo,Tipo normal,Tipo volador,Fuga,Madrugar,Tumbos,"39,2 kg","1,4 m",35,85,45,35,35,75
0085,Dodrio,Tipo normal,Tipo volador,Fuga,Madrugar,Tumbos,"85,2 kg","1,8 m",60,110,70,60,60,110
0086,Seel,Tipo agua,,Sebo,Hidratación,Gélido,"90,0 kg","1,1 m",65,45,55,45,70,45
0087,Dewgong,Tipo agua,Tipo hielo,Sebo,Hidratación,Gélido,"120,0 kg","1,7 m",90,70,80,70,95,70
0088,Grimer,Tipo veneno,,Hedor,Viscosidad,Toque tóxico,"30,0 kg","0,9 m",80,80,50,40,50,25
0088,Grimer de Alola,Tipo veneno,Tipo siniestro,Toque tóxico,Gula,Reacción química,"42,0 kg","0,7 m",80,80,50,40,50,25
0089,Muk,Tipo veneno,,Hedor,Viscosidad,Toque tóxico,"30,0 kg","1,2 m",105,105,75,65,100,50
0089,Muk de Alola,Tipo veneno,Tipo siniestro,Toque tóxico,Gula,Reacción química,"52,0 kg","1,0 m",105,105,75,65,100,50
0090,Shellder,Tipo agua,,Caparazón,Encadenado,Funda,"4,0 kg","0,3 m",30,65,100,45,25,40
0091,Cloyster,Tipo agua,Tipo hielo,Caparazón,Encadenado,Funda,"132,5 kg","1,5 m",50,95,180,85,45,70
0092,Gastly,Tipo fantasma,Tipo veneno,Levitación,,,"0,1 kg","1,3 m",30,35,30,100,35,80
0093,Haunter,Tipo fantasma,Tipo veneno,Levitación,,,"0,1 kg","1,6 m",45,50,45,115,55,95
0094,Gengar,Tipo fantasma,Tipo veneno,Levitación,2,,"40,5 kg","1,5 m",60,65,60,130,75,110
0095,Onix,Tipo roca,Tipo tierra,Cabeza roca,Robustez,Armadura frágil,"210,0 kg","8,8 m",35,45,160,30,45,70
0096,Drowzee,Tipo psíquico,,Insomnio,Alerta,Fuerza mental,"32,4 kg","1,0 m",60,48,45,43,90,42
0097,Hypno,Tipo psíquico,,Insomnio,Alerta,Fuerza mental,"75,6 kg","1,6 m",85,73,70,73,115,67
0098,Krabby,Tipo agua,,Corte fuerte,Caparazón,Potencia bruta,"6,5 kg","0,4 m",30,105,90,25,25,50
0099,Kingler,Tipo agua,,Corte fuerte,Caparazón,Potencia bruta,"60,0 kg","1,3 m",55,130,115,50,50,75
0100,Voltorb,Tipo eléctrico,,Insonorizar,Electricidad estática,Detonación,"10,4 kg","0,5 m",40,30,50,55,55,100
0100,Voltorb de Hisui,Tipo eléctrico,Tipo planta,Insonorizar,Electricidad estática,Detonación,"13,0 kg","0,5 m",40,30,50,55,55,100
0101,Electrode,Tipo eléctrico,,Insonorizar,Electricidad estática,Detonación,"66,6 kg","1,2 m",60,50,70,80,80,150
0101,Electrode de Hisui,Tipo eléctrico,Tipo planta,Insonorizar,Electricidad estática,Detonación,"71,0 kg","1,2 m",60,50,70,80,80,150
0102,Exeggcute,Tipo planta,Tipo psíquico,Clorofila,,Cosecha,"2,5 kg","0,4 m",60,40,80,60,45,40
0103,Exeggutor,Tipo planta,Tipo psíquico,Clorofila,,Cosecha,"120,0 kg","2,0 m",95,95,85,125,75,55
0103,Exeggutor de Alola,Tipo planta,Tipo dragón,Cacheo,,Cosecha,"415,6 kg","10,9 m",95,105,85,125,75,45
0104,Cubone,Tipo tierra,,Cabeza roca,Pararrayos,Armadura batalla,"6,5 kg","0,4 m",50,50,95,40,50,35
0105,Marowak,Tipo tierra,,Cabeza roca,Pararrayos,Armadura batalla,"45,0 kg","1,0 m",60,80,110,50,80,45
0105,Marowak de Alola,Tipo fuego,Tipo fantasma,Cuerpo maldito,Pararrayos,Cabeza roca,"34,0 kg","1,0 m",60,80,110,50,80,45
0106,Hitmonlee,Tipo lucha,,Flexibilidad,Audaz,Liviano,"49,8 kg","1,5 m",50,120,53,35,110,87
0107,Hitmonchan,Tipo lucha,,Vista lince,Puño férreo,Fuerza mental,"50,2 kg","1,4 m",50,105,79,35,110,76
0108,Lickitung,Tipo normal,,Despiste,Ritmo propio,Aclimatación,"65,5 kg","1,2 m",90,55,75,60,75,30
0109,Koffing,Tipo veneno,,Levitación,Gas reactivo,Hedor3,"1,0 kg","0,6 m",40,65,95,60,45,35
0110,Weezing,Tipo veneno,,Levitación,Gas reactivo,Hedor3,"9,5 kg","1,2 m",65,90,120,85,70,60
0110,Weezing de Galar,Tipo veneno,Tipo hada,Levitación,Gas reactivo,Nebulogénesis,"16,0 kg","3,0 m",65,90,120,85,70,60
0111,Rhyhorn,Tipo tierra,Tipo roca,Pararrayos,Cabeza roca,Audaz,"115,0 kg","1,0 m",80,85,95,30,30,25
0112,Rhydon,Tipo tierra,Tipo roca,Pararrayos,Cabeza roca,Audaz,"120,0 kg","1,9 m",105,130,120,45,45,40
0113,Chansey,Tipo normal,,Cura natural,Dicha,Alma cura,"34,6 kg","1,1 m",250,5,5,35,105,50
0114,Tangela,Tipo planta,,Clorofila,Defensa hoja,Regeneración,"35,0 kg","1,0 m",65,55,115,100,40,60
0115,Kangaskhan,Tipo normal,,Madrugar,Intrépido,Fuerza mental,"80,0 kg","2,2 m",105,95,80,40,80,90
0116,Horsea,Tipo agua,,Nado rápido,Francotirador,Humedad,"8,0 kg","0,4 m",30,40,70,70,25,60
0117,Seadra,Tipo agua,,Punto tóxico,Francotirador,Humedad,"25,0 kg","1,2 m",55,65,95,95,45,85
0118,Goldeen,Tipo agua,,Nado rápido,Velo agua,Pararrayos,"15,0 kg","0,6 m",45,67,60,35,50,63
0119,Seaking,Tipo agua,,Nado rápido,Velo agua,Pararrayos,"39,0 kg","1,3 m",80,92,65,65,80,68
0120,Staryu,Tipo agua,,Iluminación,Cura natural,Cálculo final,"34,5 kg","0,8 m",30,45,55,70,55,85
0121,Starmie,Tipo agua,Tipo psíquico,Iluminación,Cura natural,Cálculo final,"80,0 kg","1,1 m",60,75,85,100,85,115
0122,Mr. Mime,Tipo psíquico,Tipo hada,Insonorizar,Filtro,Experto,"54,5 kg","1,3 m",40,45,65,100,120,90
0122,Mr. Mime de Galar,Tipo hielo,Tipo psíquico,Espíritu vital,Antibarrera,Gélido,"56,8 kg","1,4 m",50,65,65,90,90,100
0123,Scyther,Tipo bicho,Tipo volador,Enjambre,Experto,Impasible,"56,0 kg","1,5 m",70,110,80,55,80,105
0124,Jynx,Tipo hielo,Tipo psíquico,Despiste,Alerta,Piel seca,"40,6 kg","1,4 m",65,50,35,115,95,95
0125,Electabuzz,Tipo eléctrico,,Electricidad estática,,Espíritu vital,"30,0 kg","1,1 m",65,83,57,95,85,105
0126,Magmar,Tipo fuego,,Cuerpo llama,,Espíritu vital,"44,5 kg","1,3 m",65,95,57,100,85,93
0127,Pinsir,Tipo bicho,,Corte fuerte,Rompemoldes,Autoestima,"55,0 kg","1,5 m",65,125,100,55,70,85
0128,Tauros,Tipo normal,,Intimidación,Irascible,Potencia bruta,"88,4 kg","1,4 m",75,100,95,40,70,110
0128,Tauros de Paldea,Tipo lucha,,Intimidación,Irascible,Rumia,"115,0 kg VC85,0 kg VAr110,0 kg VAc","1,4 m",75,110,105,30,70,100
0129,Magikarp,Tipo agua,,Nado rápido,,Cobardía,"10,0 kg","0,9 m",20,10,55,15,20,80
0130,Gyarados,Tipo agua,Tipo volador,Intimidación,,Autoestima,"235,0 kg","6,5 m",95,125,79,60,100,81
0131,Lapras,Tipo agua,Tipo hielo,Absorbe agua,Caparazón,Hidratación,"220,0 kg","2,5 m",130,85,80,85,95,60
0132,Ditto,Tipo normal,,Flexibilidad,,Impostor,"4,0 kg","0,3 m",48,48,48,48,48,48
0133,Eevee,Tipo normal,,Fuga,Adaptable,Anticipación,"6,5 kg","0,3 m",55,55,50,45,65,55
0134,Vaporeon,Tipo agua,,Absorbe agua,,Hidratación,"29,0 kg","1,0 m",130,65,60,110,95,65
0135,Jolteon,Tipo eléctrico,,Absorbe electricidad,,Pies rápidos,"24,5 kg","0,8 m",65,65,60,110,95,130
0136,Flareon,Tipo fuego,,Absorbe fuego,,Agallas,"25,0 kg","0,9 m",65,130,60,95,110,65
0137,Porygon,Tipo normal,,Calco,Descarga,Cálculo final,"36,5 kg","0,8 m",65,60,70,85,75,40
0138,Omanyte,Tipo roca,Tipo agua,Nado rápido,Caparazón,Armadura frágil,"7,5 kg","0,4 m",35,40,100,90,55,35
0139,Omastar,Tipo roca,Tipo agua,Nado rápido,Caparazón,Armadura frágil,"35,0 kg","1,0 m",70,60,125,115,70,55
0140,Kabuto,Tipo roca,Tipo agua,Armadura batalla,Nado rápido,Armadura frágil,"11,5 kg","0,5 m",30,80,90,55,45,55
0141,Kabutops,Tipo roca,Tipo agua,Armadura batalla,Nado rápido,Armadura frágil,"40,5 kg","1,3 m",60,115,105,65,70,80
0142,Aerodactyl,Tipo roca,Tipo volador,Cabeza roca,Presión,Nerviosismo,"59,0 kg","1,8 m",80,105,65,60,75,130
0143,Snorlax,Tipo normal,,Sebo,Inmunidad,Gula,"460,0 kg","2,1 m",160,110,65,65,110,30
0144,Articuno,Tipo hielo,Tipo volador,Presión,,Manto níveo,"55,4 kg","1,7 m",90,85,100,95,125,85
0144,Articuno de Galar,Tipo psíquico,Tipo volador,Tenacidad,,,"50,9 kg","1,7 m",90,85,85,125,100,95
0145,Zapdos,Tipo eléctrico,Tipo volador,Presión,,Pararrayos2 Electricidad estática3,"52,6 kg","1,6 m",90,90,85,125,90,100
0145,Zapdos de Galar,Tipo lucha,Tipo volador,Competitivo,,,"58,2 kg","1,6 m",90,125,90,85,90,100
0146,Moltres,Tipo fuego,Tipo volador,Presión,,Cuerpo llama,"60,0 kg","2,0 m",90,100,90,125,85,90
0146,Moltres de Galar,Tipo siniestro,Tipo volador,Cólera,,,"66,0 kg","2,0 m",90,85,90,100,125,90
0147,Dratini,Tipo dragón,,Mudar,,Escama especial,"3,3 kg","1,8 m",41,64,45,50,50,50
0148,Dragonair,Tipo dragón,,Mudar,,Escama especial,"16,5 kg","4,0 m",61,84,65,70,70,70
0149,Dragonite,Tipo dragón,Tipo volador,Fuerza mental,,Multiescamas,210 kg,"2,2 m",91,134,95,100,100,80
0150,Mewtwo,Tipo psíquico,,Presión,,Nerviosismo,"122,0 kg","2,0 m",106,110,90,154,90,130
0151,Mew,Tipo psíquico,,Sincronía,,,"4,0 kg","0,4 m",100,100,100,100,100,100
0152,Chikorita,Tipo planta,,Espesura,,Defensa hoja,"6,4 kg","0,9 m",45,49,65,49,65,45
0153,Bayleef,Tipo planta,,Espesura,,Defensa hoja,"15,8 kg","1,2 m",60,62,80,63,80,60
0154,Meganium,Tipo planta,,Espesura,,Defensa hoja,"100,5 kg","1,8 m",80,82,100,83,100,80
0155,Cyndaquil,Tipo fuego,,Mar llamas,,Absorbe fuego,"7,9 kg","0,5 m",39,52,43,60,50,65
0156,Quilava,Tipo fuego,,Mar llamas,,Absorbe fuego,"19,0 kg","0,9 m",58,64,58,80,65,80
0157,Typhlosion,Tipo fuego,,Mar llamas,,Absorbe fuego,"79,5 kg","1,7 m",78,84,78,109,85,100
0157,Typhlosion de Hisui,Tipo fuego,Tipo fantasma,Mar llamas,,Cacheo1,"69,8 kg","1,6 m",73,84,78,119,85,95
0158,Totodile,Tipo agua,,Torrente,,Potencia bruta,"9,5 kg","0,6 m",50,65,64,44,48,43
0159,Croconaw,Tipo agua,,Torrente,,Potencia bruta,"25,0 kg","1,1 m",65,80,80,59,63,58
0160,Feraligatr,Tipo agua,,Torrente,,Potencia bruta,"88,8 kg","2,3 m",85,105,100,79,83,78
0161,Sentret,Tipo normal,,Fuga,Vista lince,Cacheo,"6,0 kg","0,8 m",35,46,34,35,45,20
0162,Furret,Tipo normal,,Fuga,Vista lince,Cacheo,"32,5 kg","1,8 m",85,76,64,45,55,90
0163,Hoothoot,Tipo normal,Tipo volador,Insomnio,Vista lince,Cromolente,"21,2 kg","0,7 m",60,30,30,36,56,50
0164,Noctowl,Tipo normal,Tipo volador,Insomnio,Vista lince,Cromolente,"40,8 kg","1,6 m",100,50,50,86,96,70
0165,Ledyba,Tipo bicho,Tipo volador,Enjambre,Madrugar,Cobardía,"10,8 kg","1,0 m",40,20,30,40,80,55
0166,Ledian,Tipo bicho,Tipo volador,Enjambre,Madrugar,Puño férreo,"35,6 kg","1,4 m",55,35,50,55,110,85
0167,Spinarak,Tipo bicho,Tipo veneno,Enjambre,Insomnio,Francotirador,"8,5 kg","0,5 m",40,60,40,40,40,30
0168,Ariados,Tipo bicho,Tipo veneno,Enjambre,Insomnio,Francotirador,"33,5 kg","1,1 m",70,90,70,60,70,40
0169,Crobat,Tipo veneno,Tipo volador,Fuerza mental,,Allanamiento,"75,0 kg","1,8 m",85,90,80,70,80,130
0170,Chinchou,Tipo agua,Tipo eléctrico,Absorbe electricidad,Iluminación,Absorbe agua,"12,0 kg","0,5 m",75,38,38,56,56,67
0171,Lanturn,Tipo agua,Tipo eléctrico,Absorbe electricidad,Iluminación,Absorbe agua,"22,5 kg","1,2 m",125,58,58,76,76,67
0172,Pichu,Tipo eléctrico,,Electricidad estática,,Pararrayos,"2,0 kg","0,3 m",20,40,15,35,35,60
0173,Cleffa,Tipo hada,,Gran encanto,Muro mágico,Compiescolta,"3,0 kg","0,3 m",50,25,28,45,55,15
0174,Igglybuff,Tipo normal,Tipo hada,Gran encanto,Tenacidad,Compiescolta,"1,0 kg","0,3 m",90,30,15,40,20,15
0175,Togepi,Tipo hada,,Entusiasmo,Dicha,Afortunado,"1,5 kg","0,3 m",35,20,65,40,65,20
0176,Togetic,Tipo hada,Tipo volador,Entusiasmo,Dicha,Afortunado,"3,2 kg","0,6 m",55,40,85,80,105,40
0177,Natu,Tipo psíquico,Tipo volador,Madrugar,Sincronía,Espejo mágico,"2,0 kg","0,2 m",40,50,45,70,45,70
0178,Xatu,Tipo psíquico,Tipo volador,Madrugar,Sincronía,Espejo mágico,15 kg,"1,5 m",65,75,70,95,70,95
